TITLE: Water balance - stream discharge from Degerö catchment north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2012-04-25 - 2023-11-23
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Degerö, C18
LATITUDE: 64.188711
LONGITUDE: 19.543273
ALTITUDE: 265.8 m a.s.l

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: SITES_WB-SL_SVB-DEG-C18_20090417-20231123_L2_daily.csv - https://meta.fieldsites.se/objects/zt8K4r9_Mbh8wHfcp83lvpmk
Document - Description of flume see PDF: SITES_WB-Q_SVB_DEG-C18_discharge-description_from_2012.pdf - https://meta.fieldsites.se/objects/ntI69_FEOojpTH6jml-X5tmF, Catchment area 2.729 km2

PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD] UTC+1
Q - discharge (m3 s-1) daily average of 5 min sampling intervals calculated from stream level data and flume characteristics.
####
TIMESTAMP,Q
2012-11-25,0.06454352
2012-11-26,0.060898431
2012-11-27,0.052195876
2012-11-28,0.041635688
2012-11-29,0.032549554
2012-11-30,0.02657176
2012-12-01,0.021647341
2012-12-02,0.019268313
2012-12-03,0.017299858
2012-12-04,0.015861464
2012-12-05,0.014473918
2012-12-06,0.013265215
2012-12-07,0.012231071
2012-12-08,0.011279786
2012-12-09,0.010589153
2012-12-10,0.009593712
2012-12-11,0.008843694
2012-12-12,0.008550277
2012-12-13,0.008129457
2012-12-14,0.007681203
2012-12-15,0.006923532
2012-12-16,0.006576479
2012-12-17,0.006247098
2012-12-18,0.005896625
2012-12-19,0.005768925
2012-12-20,0.00576579
2012-12-21,0.005646731
2012-12-22,0.005514197
2012-12-23,0.005466014
2012-12-24,0.005439466
2012-12-25,0.005493705
2012-12-26,0.005464363
2012-12-27,0.005610308
2012-12-28,0.005557005
2012-12-29,0.005413031
2012-12-30,0.00606219
2012-12-31,0.005798377
2013-01-01,0.005541116
2013-01-02,0.005457029
2013-01-03,0.005427648
2013-01-04,0.005375591
2013-01-05,0.005325295
2013-01-06,0.005204678
2013-01-07,0.005304853
2013-01-08,0.005418303
2013-01-09,0.00544351
2013-01-10,0.005418365
2013-01-11,0.005367982
2013-01-12,0.005329225
2013-01-13,0.005302573
2013-01-14,0.005288832
2013-01-15,0.005248159
2013-01-16,0.005115494
2013-01-17,0.004873879
2013-01-18,0.004879268
2013-01-19,0.004807533
2013-01-20,0.004629066
2013-01-21,0.004591264
2013-01-22,0.004523153
2013-01-23,0.004450199
2013-01-24,0.004335861
2013-01-25,0.004234728
2013-01-26,0.004167579
2013-01-27,0.004086065
2013-01-28,0.004084078
2013-01-29,0.004071934
2013-01-30,0.004142065
2013-01-31,0.004202877
2013-02-01,0.004144657
2013-02-02,0.004111568
2013-02-03,0.004075842
2013-02-04,0.004095852
2013-02-05,0.00415215
2013-02-06,0.004126911
2013-02-07,0.004081331
2013-02-08,0.004026977
2013-02-09,0.00403188
2013-02-10,0.004121007
2013-02-11,0.004061814
2013-02-12,0.004030929
2013-02-13,0.00397893
2013-02-14,0.003926799
2013-02-15,0.003924489
2013-02-16,0.003941805
2013-02-17,0.003937185
2013-02-18,0.003930253
2013-02-19,0.003838178
2013-02-20,0.003740829
2013-02-21,0.003695077
2013-02-22,0.00362108
2013-02-23,0.003659709
2013-02-24,0.003685052
2013-02-25,0.003713415
2013-02-26,0.003858627
2013-02-27,0.005058118
2013-02-28,0.005313296
2013-03-01,0.005163551
2013-03-02,0.004882127
2013-03-03,0.004827393
2013-03-04,0.004862487
2013-03-05,0.005030917
2013-03-06,0.004964999
2013-03-07,0.004998955
2013-03-08,0.005006274
2013-03-09,0.00495551
2013-03-10,0.004918945
2013-03-11,0.005123749
2013-03-12,0.005116034
2013-03-13,0.004958234
2013-03-14,0.004888542
2013-03-15,0.004767921
2013-03-16,0.004896246
2013-03-17,0.004601739
2013-03-18,0.004417714
