TITLE: Water balance - stream discharge from Västrabäcken catchment, north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2005-04-06 - 2023-11-17
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Västrabäcken, C2
LATITUDE: 64.251425
LONGITUDE: 19.777804
ALTITUDE: 237.6 m a.s.l.

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: https://meta.fieldsites.se/objects/QjxB15TFq8Eeq-gPCzJpRYOh, Document - Description V-notch weir station see PDF: SITES_WB-Q_SVB_VAB-C2_discharge-description_from_2005.pdf - https://meta.fieldsites.se/objects/E83a9LPleWK9C2VQDxjl5o2N, Catchment area 0.119 km2
Before 2012" gaps in data are caused by freezing over winter periods and removed sensor, Gaps are filled with NaNs. Heated dam house allowed continuous measurements from 2012 onwards."
Stream can fall dry during summer periods," therefore data is filled with NaNs as precise measurements cannot be conducted, see e.g. August 2014 and July/August 2018."


PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD]
Q - discharge (m3 s-1), Daily average of 5 min sampling intervals, calculated from stream level data and V-notch weir dimensions
####
TIMESTAMP,Q
2007-01-25,NaN
2007-01-26,NaN
2007-01-27,NaN
2007-01-28,NaN
2007-01-29,NaN
2007-01-30,NaN
2007-01-31,NaN
2007-02-01,NaN
2007-02-02,NaN
2007-02-03,NaN
2007-02-04,NaN
2007-02-05,NaN
2007-02-06,NaN
2007-02-07,NaN
2007-02-08,NaN
2007-02-09,NaN
2007-02-10,NaN
2007-02-11,NaN
2007-02-12,NaN
2007-02-13,NaN
2007-02-14,NaN
2007-02-15,NaN
2007-02-16,NaN
2007-02-17,NaN
2007-02-18,NaN
2007-02-19,NaN
2007-02-20,NaN
2007-02-21,NaN
2007-02-22,NaN
2007-02-23,NaN
2007-02-24,NaN
2007-02-25,NaN
2007-02-26,NaN
2007-02-27,NaN
2007-02-28,NaN
2007-03-01,NaN
2007-03-02,NaN
2007-03-03,NaN
2007-03-04,NaN
2007-03-05,NaN
2007-03-06,NaN
2007-03-07,NaN
2007-03-08,NaN
2007-03-09,NaN
2007-03-10,NaN
2007-03-11,NaN
2007-03-12,NaN
2007-03-13,NaN
2007-03-14,NaN
2007-03-15,NaN
2007-03-16,NaN
2007-03-17,NaN
2007-03-18,NaN
2007-03-19,NaN
2007-03-20,NaN
2007-03-21,NaN
2007-03-22,NaN
2007-03-23,NaN
2007-03-24,NaN
2007-03-25,NaN
2007-03-26,NaN
2007-03-27,NaN
2007-03-28,NaN
2007-03-29,NaN
2007-03-30,NaN
2007-03-31,NaN
2007-04-01,NaN
2007-04-02,NaN
2007-04-03,NaN
2007-04-04,NaN
2007-04-05,NaN
2007-04-06,NaN
2007-04-07,NaN
2007-04-08,NaN
2007-04-09,NaN
2007-04-10,NaN
2007-04-11,NaN
2007-04-12,NaN
2007-04-13,NaN
2007-04-14,NaN
2007-04-15,NaN
2007-04-16,NaN
2007-04-17,NaN
2007-04-18,NaN
2007-04-19,NaN
2007-04-20,NaN
2007-04-21,NaN
2007-04-22,0.002179790
2007-04-23,0.002247511
2007-04-24,0.003060436
2007-04-25,0.004636405
2007-04-26,0.004774809
2007-04-27,0.003709137
2007-04-28,0.002642194
2007-04-29,0.002082143
2007-04-30,0.001773223
2007-05-01,0.001600676
2007-05-02,0.001527828
2007-05-03,0.001467529
2007-05-04,0.001444341
2007-05-05,0.001354403
2007-05-06,0.001258528
2007-05-07,0.001239305
2007-05-08,0.001247187
2007-05-09,0.002354711
2007-05-10,0.002062271
2007-05-11,0.001468754
2007-05-12,0.001270552
2007-05-13,0.001100369
2007-05-14,0.001354461
2007-05-15,0.003128603
2007-05-16,0.003174478
2007-05-17,0.002153936
2007-05-18,0.001454777
2007-05-19,0.001555846
2007-05-20,0.002540303
2007-05-21,0.001518587
2007-05-22,0.001151110
2007-05-23,0.000968149
2007-05-24,0.000849145
2007-05-25,0.000762871
2007-05-26,0.000719519
2007-05-27,0.000606696
2007-05-28,0.000485629
2007-05-29,0.000400914
2007-05-30,0.000349703
2007-05-31,0.000297396
2007-06-01,0.000229185
2007-06-02,0.000179587
2007-06-03,0.000143774
2007-06-04,0.000109299
2007-06-05,0.000076920
2007-06-06,0.000053152
2007-06-07,0.000036931
2007-06-08,0.000024167
2007-06-09,0.000010972
2007-06-10,0.000008500
2007-06-11,0.000007120
2007-06-12,0.000008600
2007-06-13,0.000261624
2007-06-14,0.000598391
2007-06-15,0.000233941
